id;name_activity;date_start;date_limit;description;deliverables;dept;involved_activity;status;date_closure;creator_id
1;mobile Fish;2020-04-04;2020-04-05;Table Computer;Trace;Savings Account alarm;Tasty Metal Bacon;93855;2020-04-05;1
2;Officer;2020-04-05;2020-04-05;Albania web-readiness;Namibia;Steel zero administration;Multi-channelled Licensed;61838;2020-04-05;1
3;Planner Canyon;2020-04-04;2020-04-05;Table Small Frozen Sausages Planner;envisioneer Music Public-key;infomediaries;Investment Account;83319;2020-04-05;1
4;incentivize Tuna copy;2020-04-05;2020-04-05;Mayotte;Industrial;connect Markets Chief;capacitor archive;57044;2020-04-05;2
5;Tactics;2020-04-04;2020-04-05;interactive generating compelling;Home Loan Account;Plastic;Car Industrial deliverables;39488;2020-04-05;1
6;Jewelery;2020-04-05;2020-04-04;application quantify Unbranded Plastic Tuna;Internal;Investment Account archive Fantastic Plastic Chicken;payment;59129;2020-04-05;1
7;Mississippi embrace Developer;2020-04-04;2020-04-04;Idaho compress Avon;system Small;Intelligent Outdoors;Harbor Montana;69551;2020-04-04;1
8;Investment Account;2020-04-05;2020-04-04;User-centric;Money Market Account;Salad Web virtual;Refined Squares;21844;2020-04-05;1
9;EXE projection Fresh;2020-04-05;2020-04-05;Gorgeous Profit-focused synergies;cutting-edge ability Hat;supply-chains magenta;encompassing;24412;2020-04-04;1
10;sky blue;2020-04-05;2020-04-04;robust Engineer;Exclusive Moroccan Dirham card;zero tolerance;mission-critical;97661;2020-04-05;1
