id;state_closure;action_closed;effectiveness;dept;improve_comment;effectiveness_comment;find_close_id
1;mobile Fish;Home Loan Account Table Computer;5808;FTP Savings Account;deposit Tasty Metal Bacon Implementation;Chips;1
2;Money Market Account;Albania web-readiness;29122;Investment Account Steel;Coordinator;Common;2
3;Savings Account syndicate Planner;Refined Rubber Chicken Table;6505;Factors;South Dakota envisioneer Music;Nakfa;3
4;Bahamian Dollar Investment Account;Games Regional Digitized;66252;hardware Costa Rica Mayotte;Industrial;connect Markets Chief;4
5;capacitor archive;sky blue Tasty Plastic Pizza;38867;interactive generating compelling;Home Loan Account;Plastic;5
6;Car Industrial deliverables;orange Books;81546;monitor;1080p Checking Account Identity;Frozen IB;6
7;Highway Ergonomic;moratorium moratorium;72960;withdrawal COM;embrace Developer;synthesize Idaho compress;7
8;Sleek Metal Table Small;Intelligent Outdoors;63641;knowledge base Buckinghamshire;Concrete Investment Account Saint Lucia;User-centric;8
9;Money Market Account;Salad Web virtual;63340;RSS;mint green e-business EXE;back-end;9
10;granular Direct contextually-based;synergies copying;86073;Games;Iraq Bedfordshire;Concrete 24/7 Directives;10
